,Company_name,Symbol,Sector,Shares_outstanding,Market_price,Percent_change,Last_traded,52_weeks_low_high,180_day_average,120_day_average,1_year_yield,EPS,PE_ratio,Book_value,PBV,30_day_avg_volume,Market_capitalization,Sektor,Listed_shares,Paidup_value,Total_paidup_value
214,NMB 50,NMB50,Mutual_Fund,,16.81,7.48,7/20/2021 12:47,15.64-9.01,12.98,13.59,56.4,0,0,0,0,903680,0,Mutual Fund,0,10,0
215,NABIL BALANCED FUND-2,NBF2,Mutual_Fund,,16,7.38,7/20/2021 12:47,14.90-8.70,12.03,12.66,56.51,0,0,0,16,890909,0,Mutual Fund,0,10,0
216,Mountain Hydro Nepal Limited,MHNL,Hydro_Power,12500000,404,7.16,7/20/2021 12:47,419.00-78.00,284.08,310.57,371.25,1.77,228.25,88.59,4.56,13905,5050000000,Hydro Power,12500000,100,1250000000
217,Citizens Mutual Fund -1,CMF1,Mutual_Fund,,13.9,6.11,7/20/2021 12:47,13.11-9.52,11.08,11.52,31,0,0,0,13.9,239197,0,Mutual Fund,0,10,0
218,Siddhartha Equity Fund,SEF,Mutual_Fund,,15.77,8.01,7/20/2021 12:47,14.60-8.76,12.46,12.94,46,0,0,0,0,333735,0,Mutual Fund,0,10,0
219,Sanima Equity Fund,SAEF,Mutual_Fund,,18.95,8.22,7/20/2021 12:47,17.51-9.40,14.6,15.35,77.77,0,0,0,18.95,1193417,0,Mutual Fund,0,10,0
221,Nepal Insurance Co. Ltd.,NICL,Non_Life_Insurance,12423385.6,1107,-3.74,7/20/2021 12:47,"1,241.00-430.00",890.91,921.31,131.9,18.26,60.62,132.34,8.36,157704,13752687859,Non-Life Insurance,12423385.6,100,1242338560
222,Everest Insurance Company Limited Promoter Share,EICPO,Promotor_Share,,480,-3.81,7/20/2021 12:47,511.00-245.00,401.39,398.85,0,0,0,0,480,21024,0,Promotor Share,0,0,0
223,12% ICFC Finance Limited Debenture 2083,ICFCD83,Corporate_Debenture,,1234,-2.37,7/20/2021 12:47,"1,274.00-1,086.00",1190.8,1211.91,0,0,0,0,1234,72,0,Corporate Debenture,0,0,0
224,Samudayik Laghubitta Bittiya Sanstha Limited,SLBSL,Microfinance,1320000,1520,-2.25,7/20/2021 12:47,"1,693.00-755.00",1377.79,1439.05,67.93,17.28,87.96,150.38,10.11,1817,2006400000,Microfinance,1320000,100,132000000
225,Summit Laghubitta Bittiya Sanstha  Ltd.,SMFDB,Microfinance,3943000,1685,-2.03,7/20/2021 12:47,"1,905.00-750.00",1497.24,1632.51,121.94,33.88,49.73,151.35,11.13,4924,6643955000,Microfinance,3943000,100,394300000
226,Life Insurance Co. Nepal,LICN,Life_Insurance,22110000,2399,-1.76,7/20/2021 12:47,"2,762.00-1,397.00",2368.77,2350.25,72.09,9.27,258.79,127.65,18.79,9126,53041890000,Life Insurance,22110000,100,2211000000
227,Support Microfinance Bittiya Sanstha Ltd.,SMB,Microfinance,660000,2539,-0.31,7/20/2021 12:47,"2,634.00-802.00",2254.32,2394.04,184.26,42.99,59.06,160.87,15.78,668,1675740000,Microfinance,660000,100,66000000
228,Lumbini General Insurance Co. Ltd.,LGIL,Non_Life_Insurance,11988900,819.1,-1.9,7/20/2021 12:47,885.00-437.00,788.27,803.45,77.72,15.31,53.5,125.28,6.54,32596,9820107990,Non-Life Insurance,11988900,100,1198890000
229,Mirmire Laghubitta Bittiya Sanstha Ltd.,MMFDB,Microfinance,4325915,1920,-2.04,7/20/2021 12:47,"1,960.00-682.00",1630.75,1683.63,118.02,45.46,42.23,159.24,12.06,8225,8305756800,Microfinance,4325915,100,432591500
