,Company_name,Symbol,Sector,Shares_outstanding,Market_price,Percent_change,Last_traded,52_weeks_low_high,180_day_average,120_day_average,1_year_yield,EPS,PE_ratio,Book_value,PBV,30_day_avg_volume,Market_capitalization,Sektor,Listed_shares,Paidup_value,Total_paidup_value
145,Radhi Bidyut Company Ltd,RADHI,Hydro_Power,6464046.2,791,5.05,7/20/2021 12:38,"1,300.00-164.00",621.83,758.23,343.53,12.92,61.22,137.99,5.73,109920,5113060544,Hydro Power,6464046.2,100,646404620
146,Rastriya Beema Company Limited,RBCL,Non_Life_Insurance,2666390,21650,0.23,7/20/2021 12:38,"23,594.00-9,070.00",19502.96,19979.47,132.51,135.02,160.35,1263.88,17.13,979,57727343500,Non-Life Insurance,2666390,100,266639000
147,Rastriya Beema Company Limited Promoter Share,RBCLPO,Promotor_Share,,17800,-1.11,7/20/2021 12:40,"18,822.00-7,796.00",16772.76,17001.33,112.68,0,0,0,17800,1954,0,Promotor Share,0,0,0
148,Ridi Hydropower Development Company Ltd.,RHPC,Hydro_Power,5855580,566,1.98,7/20/2021 12:40,696.00-80.00,311.33,378.3,552.94,4.88,115.98,103.84,5.45,66214,3314258280,Hydro Power,5855580,100,585558000
149,RASUWAGADHI HYDROPOWER COMPANY LIMITED,RHPL,Hydro_Power,61578900,477,1.04,7/20/2021 12:40,579.00-142.00,439.01,473.47,215.33,0.53,-900,96.32,4.95,86137,29373135300,Hydro Power,61578900,100,6157890000
150,Reliance Finance Ltd.,RLFL,Finance,9156576,558,-0.18,7/20/2021 12:40,562.00-120.00,318.23,364.77,326.72,12.64,44.15,150.3,3.71,115033,5109369408,Finance,9156576,100,915657600
151,Reliance Life Insurance Company Limited,RLI,Life_Insurance,21000000,712,-1.52,7/20/2021 12:40,784.00-340.00,698.74,700.62,0,4.18,170.33,109.8,6.48,17600,14952000000,Life Insurance,21000000,100,2100000000
152,RMDC Laghubitta Bittiya Sanstha Limited,RMDC,Microfinance,10342219.4,1374,0.22,7/20/2021 12:40,"1,409.00-692.00",1216.16,1263.37,90.68,26.47,51.91,266.27,5.16,25158,14210209456,Microfinance,10342219.4,100,1034221940
153,Rairang Hydropower Development Company Ltd.,RRHP,Hydro_Power,5600000,438,4.29,7/20/2021 12:40,482.00-89.00,365.21,395.05,361.54,9.17,47.76,109.8,3.99,26310,2452800000,Hydro Power,5600000,100,560000000
154,RSDC Laghubitta Bittiya Sanstha Ltd.,RSDC,Microfinance,7319600,897,0.67,7/20/2021 12:40,946.00-469.00,852.93,875.36,65,13.9,64.53,118.94,7.54,14050,6565681200,Microfinance,7319600,100,731960000
155,Ru Ru Jalbidhyut Pariyojana Limited,RURU,Hydro_Power,4077055,921,0.11,7/20/2021 12:40,"1,170.00-384.00",906.18,906.45,0,20.05,45.94,130.11,7.08,2336,3754967655,Hydro Power,4077055,100,407705500
156,SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,SABSL,Microfinance,2060270,1931.9,0.36,7/20/2021 12:40,"1,964.00-713.00",1592.84,1704.65,121.77,51.3,37.66,145.23,13.3,2594,3980235613,Microfinance,2060270,100,206027000
157,Shangrila Development Bank Ltd.,SADBL,Development_Bank_Limited,27369724.2,437,-0.68,7/20/2021 12:40,473.00-141.00,279.02,314.28,194,17.13,25.51,138.05,3.17,133281,11960569475,Development Bank Limited,27369724.2,100,2736972420
158,Sanima Equity Fund,SAEF,Mutual_Fund,,18.98,8.4,7/20/2021 12:40,17.51-9.40,14.6,15.35,77.77,0,0,0,18.98,1193417,0,Mutual Fund,0,10,0
159,Sanima Bank Limited,SANIMA,Commercial_Banks,96815190.8,520,0.19,7/20/2021 12:40,519.00-307.00,408.1,431.01,39.52,25.56,20.34,148.7,3.5,158323,50343899216,Commercial Banks,96815190.8,100,9681519080
160,Saptakoshi Development Bank Ltd,SAPDBL,Development_Bank_Limited,8343384.3,390,-0.51,7/20/2021 12:40,410.00-117.00,235.15,267.83,211.11,6.8,57.35,118.26,3.3,41735,3253919877,Development Bank Limited,8343384.3,100,834338430
161,Sunrise Bluechip Fund,SBCF,Mutual_Fund,,10.41,2.87,7/20/2021 12:42,10.60-10.00,10.13,10.14,0,0,0,0,10.41,29656,0,Mutual Fund,0,10,0
162,8.5% Sanima Debenture 2087,SBD87,Corporate_Debenture,,995,0,7/20/2021 12:42,"1,010.00-995.00",1002.19,1001.97,0,0,0,0,995,162,0,Corporate Debenture,0,0,0
163,Nepal SBI Bank Limited,SBI,Commercial_Banks,94935778.9,424,-0.7,7/20/2021 12:42,484.00-387.00,416.56,411.12,-8.17,12.34,34.36,161.32,2.63,36225,40252770254,Commercial Banks,94935778.9,100,9493577890
164,Siddhartha Bank Limited,SBL,Commercial_Banks,109622992,549.8,0.33,7/20/2021 12:42,548.00-292.00,435.67,455.5,65.79,25.12,21.89,181.89,3.02,173089,60270721002,Commercial Banks,109622992,100,10962299200
165,Standard Chartered Bank Limited,SCB,Commercial_Banks,85722310,602,-0.17,7/20/2021 12:42,700.00-574.00,605.5,595.49,-13.11,18.41,32.7,186.95,3.22,29666,51604830620,Commercial Banks,85722310,100,8572231000
166,Sadhana Laghubitta Bittiya Sanstha Limited,SDLBSL,Microfinance,2569804,1773,-0.89,7/20/2021 12:42,"1,980.00-397.00",1543.44,1626.07,0,39.34,45.07,136.61,12.98,5103,4556262492,Microfinance,2569804,100,256980400
167,Siddhartha Equity Fund,SEF,Mutual_Fund,,15.9,8.9,7/20/2021 12:42,14.60-8.76,12.46,12.94,46,0,0,0,0,333735,0,Mutual Fund,0,10,0
168,Samriddhi Finance Company Limited,SFCL,Finance,5459409,520,0.39,7/20/2021 12:42,518.00-99.00,272.67,315.71,435.05,1.32,393.94,72.73,7.15,75318,2838892680,Finance,5459409,100,545940900
169,Sunrise First Mutual Fund,SFMF,Mutual_Fund,,18.44,7.96,7/20/2021 12:42,17.08-9.00,13.55,14.38,70.8,0,0,0,18.44,651707,0,Mutual Fund,0,10,0
170,Sanima General Insurance Company Limited,SGI,Non_Life_Insurance,10000000,742,0.27,7/20/2021 12:42,899.00-342.00,729.65,763.26,0,7.76,95.62,107.6,6.9,7676,7420000000,Non-Life Insurance,10000000,100,1000000000
171,Singati Hydro Energy Limited,SHEL,Hydro_Power,,478,1.49,7/20/2021 12:42,529.00-330.00,426.54,427.41,0,0,0,0,478,15763,0,Hydro Power,0,100,0
